lon,lat,depth,strike,dip,dz1,dz2,dz3,thickness
122.41,20.39,171.46,354.31,64.56,24.36,3.65,3.12,74.27
122.41,20.37,171.46,354.54,64.44,24.62,3.65,3.01,74.20
122.42,20.35,171.46,354.77,64.32,24.89,3.64,2.90,74.13
122.42,20.33,171.46,354.98,64.21,25.16,3.64,2.81,74.07
122.42,20.31,171.46,355.17,64.09,25.45,3.64,2.72,74.00
122.42,20.29,171.46,355.34,63.98,25.73,3.63,2.64,73.94
122.42,20.27,171.46,355.49,63.86,26.02,3.63,2.57,73.87
122.42,20.25,171.46,355.62,63.75,26.32,3.63,2.50,73.81
122.42,20.23,171.46,355.72,63.63,26.61,3.62,2.22,73.75
122.43,20.21,171.46,355.80,63.52,26.90,3.62,1.83,73.69
122.43,20.19,171.46,355.85,63.40,27.18,3.62,1.45,73.63
122.43,20.17,171.46,355.87,63.28,27.46,3.62,1.07,73.57
122.43,20.15,171.46,355.85,63.16,27.73,3.61,0.69,73.51
122.43,20.13,171.46,355.81,63.04,27.99,3.61,0.30,73.46
122.43,20.11,171.46,355.73,62.92,28.23,3.61,-0.08,73.40
122.43,20.09,171.46,355.62,62.79,28.46,3.61,-0.47,73.35
122.44,20.07,171.46,355.47,62.66,28.67,3.60,-0.86,73.29
122.44,20.05,171.46,355.30,62.52,28.85,3.60,-1.26,73.24
122.44,20.03,171.46,355.09,62.38,29.02,3.60,-1.44,73.19
122.44,20.01,171.46,354.85,62.24,29.17,3.60,-1.14,73.13
122.44,19.99,171.46,354.58,62.08,29.29,3.60,-0.86,73.08
122.44,19.97,171.46,354.29,61.92,29.38,3.59,-0.58,73.03
122.45,19.95,171.46,353.97,61.76,29.45,3.59,-0.32,72.98
122.45,19.93,171.46,353.64,61.58,29.48,3.59,-0.08,72.93
122.45,19.91,171.46,353.28,61.40,29.49,3.59,0.16,72.89
122.45,19.89,171.46,352.91,61.20,29.47,3.59,0.38,72.84
122.45,19.87,171.46,352.54,61.00,29.42,3.58,0.58,72.79
122.46,19.85,171.46,352.16,60.79,29.34,3.58,0.77,72.75
122.46,19.83,171.46,351.78,60.57,29.22,3.58,0.95,72.70
122.46,19.81,171.46,351.41,60.34,29.08,3.58,0.84,72.66
122.47,19.79,171.46,351.05,60.09,28.91,3.58,0.73,72.62
122.47,19.77,171.46,350.70,59.84,28.72,3.58,0.60,72.58
122.47,19.75,171.46,350.38,59.58,28.49,3.57,0.45,72.54
122.48,19.73,171.46,350.09,59.30,28.25,3.57,0.30,72.50
122.48,19.71,171.46,349.83,59.01,27.98,3.57,0.13,72.46
122.48,19.69,171.46,349.62,58.72,27.68,3.57,-0.05,72.42
122.49,19.66,171.46,349.44,58.41,27.37,3.57,-0.23,72.38
122.49,19.64,171.46,349.32,58.10,27.04,3.57,-0.42,72.35
122.49,19.62,171.46,349.26,57.77,26.70,3.57,-0.62,72.31
122.50,19.60,171.46,349.25,57.44,26.34,3.57,-0.29,72.28
122.50,19.58,171.46,349.31,57.10,25.98,3.56,0.29,72.25
122.51,19.56,171.46,349.44,56.76,25.61,3.56,0.88,72.22
122.51,19.54,171.46,349.64,56.41,25.23,3.56,1.48,72.18
122.51,19.52,171.46,349.92,56.06,24.85,3.56,2.09,72.15
122.52,19.50,171.46,350.27,55.71,24.47,3.56,2.71,72.12
122.52,19.48,171.46,350.70,55.37,24.10,3.56,3.35,72.09
122.52,19.46,171.46,351.21,55.02,23.73,3.56,4.00,72.07
122.53,19.44,171.46,351.80,54.69,23.36,3.56,4.68,72.04
122.53,19.42,171.46,352.47,54.37,23.01,3.56,5.38,72.01
122.53,19.40,171.46,353.22,54.06,22.67,3.56,5.88,71.98
122.53,19.38,171.46,354.05,53.76,22.34,3.55,5.93,71.95
122.53,19.36,171.46,354.95,53.49,22.03,3.55,6.02,71.92
122.54,19.34,171.46,355.92,53.24,21.74,3.55,6.14,71.89
122.54,19.32,171.46,356.95,53.01,21.47,3.55,6.30,71.86
122.54,19.30,171.46,358.04,52.82,21.21,3.55,6.51,71.84
122.54,19.28,171.46,359.18,52.65,20.98,3.55,6.75,71.81
122.54,19.26,171.46,0.36,52.52,20.78,3.55,7.05,71.78
122.54,19.24,171.46,1.57,52.43,20.59,3.55,7.39,71.75
122.54,19.22,171.46,2.81,52.37,20.43,3.54,7.77,71.71
122.53,19.20,171.46,4.06,52.35,20.30,3.54,8.21,71.68
122.53,19.18,171.46,5.31,52.37,20.19,3.54,7.81,71.65
122.53,19.16,171.46,6.56,52.42,20.10,3.54,7.46,71.62
122.53,19.14,171.46,7.79,52.52,20.04,3.54,7.16,71.58
122.52,19.12,171.46,8.98,52.64,20.01,3.54,6.90,71.55
122.52,19.10,171.46,10.14,52.80,20.00,3.54,6.69,71.52
122.52,19.08,171.46,11.25,52.99,20.01,3.53,6.53,71.48
122.51,19.06,171.46,12.30,53.20,20.05,3.53,6.41,71.44
122.51,19.04,171.46,13.29,53.44,20.11,3.53,6.32,71.41
122.50,19.02,171.46,14.21,53.69,20.19,3.53,6.28,71.37
122.49,19.00,171.46,15.05,53.96,20.29,3.53,6.28,71.33
122.49,18.98,171.46,15.81,54.24,20.41,3.53,5.71,71.30
122.48,18.96,171.46,16.48,54.53,20.54,3.52,4.88,71.26
122.48,18.94,171.46,17.07,54.81,20.70,3.52,4.07,71.22
122.47,18.92,171.46,17.57,55.10,20.86,3.52,3.29,71.18
122.46,18.90,171.46,17.98,55.38,21.04,3.52,2.53,71.14
122.45,18.89,171.46,18.30,55.65,21.23,3.52,1.78,71.11
122.45,18.87,171.46,18.53,55.91,21.43,3.51,1.04,71.07
122.44,18.85,171.46,18.68,56.16,21.63,3.51,0.31,71.03
122.43,18.83,171.46,18.75,56.39,21.84,3.51,-0.41,70.99
122.43,18.81,171.46,18.74,56.61,22.05,3.51,-1.14,70.96
122.42,18.79,171.46,18.66,56.80,22.26,3.51,-1.85,70.92
122.41,18.77,171.46,18.51,56.97,22.47,3.51,-2.54,70.88
122.40,18.75,171.46,18.30,57.12,22.67,3.50,-3.23,70.85
122.40,18.73,171.46,18.04,57.24,22.87,3.50,-3.94,70.81
122.39,18.71,171.46,17.74,57.34,23.06,3.50,-4.65,70.78
122.38,18.69,171.46,17.40,57.41,23.24,3.50,-5.38,70.74
122.38,18.67,171.46,17.04,57.46,23.40,3.50,-6.13,70.71
122.37,18.65,171.46,16.66,57.48,23.55,3.50,-6.89,70.68
122.36,18.63,171.46,16.27,57.48,23.69,3.49,-7.67,70.64
122.36,18.61,171.46,15.89,57.45,23.81,3.49,-8.46,70.61
122.35,18.59,171.46,15.53,57.40,23.91,3.49,-9.26,70.58
122.35,18.57,171.46,15.18,57.33,23.99,3.49,-7.22,70.55
122.34,18.55,171.46,14.88,57.23,24.05,3.49,-5.19,70.52
122.33,18.53,171.46,14.61,57.12,24.09,3.49,-3.17,70.49
122.33,18.51,171.46,14.40,56.98,24.11,3.49,-1.16,70.45
122.32,18.49,171.46,14.24,56.83,24.10,3.48,0.85,70.42
