,total_peridotite
437,36128.85563781011
438,25869.50766476188
439,3355.0534904345227
440,31184.6142104149
441,47067.19646165025
442,40477.288342577594
443,15021.412029105199
444,10279.31986529991
445,5445.65389549401
446,9320.494293968368
447,8499.330728290208
448,1397.0695633736434
449,1489.974858106826
450,4116.376133764596
451,3516.260241187338
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,2979.339035463572
464,3665.4407213151617
465,0.0
466,0.0
467,0.0
468,6116.962929789295
469,5399.507258131718
470,3946.6989950066404
471,3291.0769170209564
472,6269.925042739573
473,15950.096205151363
474,540.503991407507
475,0.0
476,10985.10806982859
477,40743.5890533635
478,44475.28966106021
479,14219.808607758181
480,25005.65387965109
481,54926.856576785445
482,21814.474314703468
483,11751.780752090654
484,2515.746248870112
485,2825.055542597271
486,7160.888598511902
487,19363.597480024553
488,885.0385321195691
489,1940.8104017575797
490,1981.8255001089738
491,1361.017400223683
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,923.749040791254
504,598.1249528487093
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,1680.9840787634819
512,3684.0677497085526
513,7852.436197905764
514,7972.307904339163
515,0.0
516,1038.1395089298278
517,25353.742182730635
518,7439.572681513506
519,18819.253149251046
520,5627.120860685666
521,22089.447399047054
522,16599.068071924994
523,11245.153878651015
524,11563.320638571957
525,0.0
526,2350.539225645422
527,6221.88243725861
528,10115.45659182134
529,7443.820052803591
530,7997.2150725800475
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,598.547549297454
544,2697.708650252062
545,0.0
546,3341.011089680197
547,1340.3940626618576
548,1539.9655055351654
549,3636.714114721028
550,7594.2778158212805
551,1992.9251798382202
552,0.0
553,0.0
554,3983.418648513321
555,1150.1921071689449
556,0.0
557,12970.817073658112
558,334.36497607535085
559,13891.796788733025
560,8399.156579997714
561,20832.430841018766
562,9813.194303519555
563,19633.831933402842
564,7964.847109708324
565,298.2970432893843
566,0.0
567,3730.4364909718593
568,8066.3970757392635
569,10531.148985722783
570,1377.8631183996517
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,3918.7522216167326
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,13780.675747288271
591,1074.2671997836385
592,0.0
593,1264.2895080759731
594,3493.45762893247
595,9102.016199328744
596,280.425522085525
597,4524.239754478666
598,7630.2803958223585
599,18815.288319963
600,7492.581798750988
601,11613.348064634889
602,1191.6027417973091
603,29430.80911750727
604,7526.98021751336
605,0.0
606,1123.7159271638172
607,19969.350801388005
608,3402.640622682015
609,2491.46677754377
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,457.10794591482187
631,631.0939514799953
632,0.0
633,408.5676957866283
634,1985.995120106999
635,6994.329530141934
636,1681.0936914316123
637,5898.354973599154
638,17446.68788061666
