,total_peridotite
511,246.0988176889977
512,115.31339041108386
513,131.01407110000395
514,5.586385274551417
515,0.0
516,0.0
517,0.0
518,0.8031867696477295
519,2.165424894281358
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,5.053275041134262
548,3.017409701559976
549,21.605394026949035
550,213.42947220917904
551,48.67005371326704
552,109.45908823984497
553,144.40909858649096
554,3.213854290358637
555,0.0
556,0.0
557,0.0
558,3.5230033388428836
559,0.9932956675277195
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,2.529584797262661
588,5.536893030025803
589,483.2142374493886
590,142.3471183123428
591,76.8256254391519
592,314.88527302239925
593,6.994390380017735
594,0.0
595,0.0
596,0.0
597,0.0
598,2.3726306181390986
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,4.931113935022241
625,14.245659766764266
626,2.0667056230362246
627,1.6121389609284553
628,441.4036573477688
629,178.8884733591501
630,117.9039242486017
631,289.1047019650105
632,10.626483498808085
633,0.0
634,0.0
635,0.0
636,0.0
637,0.7743388679053445
638,6.4729521613332635
639,1.3649355828759062
640,8.886015768169136
641,4.199695114277903
642,2.014848648991011
643,8.06177191469776
644,13.402426258194714
645,10.636361395668462
646,0.0
647,7.912246775654799
648,3.711260229552963
649,2.907739521894916
650,2.1322676425953886
651,1.7518647337855475
652,2.3823539112456795
653,3.6632230198966487
654,15.296062095982261
655,6.559099355873486
656,1.5567842370886447
657,9.94043518455172
658,19.437803315835698
659,22.652529837696612
660,0.0
661,0.0
662,0.0
663,15.492260428702222
664,7.303198735637552
665,0.0
666,40.6086376476209
667,111.30098410173592
668,137.06943103703816
669,67.75876679120408
670,88.30178194148372
671,10.3250756884557
672,2.5528297073781814
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,3.1946958172972018
704,0.3516124528163333
705,3.3617062292077478
706,4.408667509269612
707,35.145626949976986
708,217.11238626372955
709,46.60175420600375
710,6.931874564272953
711,7.099230536621249
712,0.0
713,0.0
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,0.0
