,total_peridotite
479,22002.439113905846
480,8450.462153732267
481,9023.457810281847
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,923.749040791254
489,1196.6725021461634
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,4611.973305128284
508,2689.1665827360216
509,10966.173899640311
510,4653.07390699
511,5656.150762619457
512,5065.938293758915
513,15610.46879051581
514,12046.716145039687
515,30455.97716055606
516,35112.104505160605
517,43881.13118462935
518,6850.314384286952
519,15995.074793027496
520,34245.13877411276
521,1377.8631183996517
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,1196.1997581116125
529,5420.261113757181
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,191.29583396854716
549,14292.975005876964
550,779.1924427476587
551,5124.194084597964
552,14342.214330169483
553,6243.603351193216
554,40096.059511767584
555,28402.954712125662
556,33152.905942005134
557,19274.910248183063
558,8597.874437890709
559,11716.715795154565
560,3771.920582037636
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,16910.91991953747
570,3043.929183250444
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,2053.373829851057
590,0.0
591,6441.390011202502
592,22241.971437820954
593,21886.743251683816
594,32231.559395984983
595,11888.404092153884
596,24348.621918511326
597,3145.6999386530156
598,6341.2655651085015
599,10279.95924647893
600,2243.1212935774865
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,1848.597614996557
610,3887.3966770809175
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,679.2582069416804
625,6615.803519575411
626,1011.6232705102241
627,8226.686377122473
628,1010.893067952317
629,5727.194785699872
630,0.0
631,8052.450177783389
632,19368.79996136389
633,19757.354409575346
634,5574.259596122147
635,11480.135213238624
636,24535.74402075302
637,8160.3948292796895
638,21133.22303463479
639,7373.853233550363
640,3746.504788135918
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,1794.291427333395
651,2087.6447593073144
652,3502.0655371636176
653,0.0
654,0.0
655,0.0
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,17398.76589630168
665,2611.0432126785186
666,2660.332444428501
667,3222.8399799257463
668,3040.721732641259
669,6300.255573585813
670,371.09001515424416
671,19174.825247101715
672,25635.242828650313
673,23300.693845500336
674,18061.69988119475
675,18668.611264055802
676,2646.1829061665903
677,1738.171518450079
678,5681.3526972695345
679,5607.563533614329
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
